timestamp,n_seen,event_type,district
2016-01-28 00:00:00,166498,drift,Manhattan
2016-01-28 01:00:00,24298,drift,Global
2016-01-28 01:00:00,166658,warning,Manhattan
2016-01-28 05:00:00,24394,warning,Global
2016-01-28 14:00:00,169498,drift,Manhattan
2016-01-28 14:00:00,24698,drift,Global
2016-01-28 14:00:00,169626,warning,Manhattan
2016-01-28 15:00:00,24762,warning,Global
2016-01-28 21:00:00,25098,drift,Global
2016-01-28 22:00:00,172498,drift,Manhattan
2016-01-28 22:00:00,172594,warning,Manhattan
2016-01-28 22:00:00,3334,warning,Queens
2016-01-28 22:00:00,25162,warning,Global
2016-01-29 07:00:00,25498,drift,Global
2016-01-29 10:00:00,175498,drift,Manhattan
2016-01-29 11:00:00,25594,warning,Global
2016-01-29 11:00:00,175626,warning,Manhattan
2016-01-29 18:00:00,3418,drift,Queens
2016-01-29 18:00:00,25898,drift,Global
2016-01-29 19:00:00,178498,drift,Manhattan
2016-01-29 19:00:00,178626,warning,Manhattan
2016-01-29 19:00:00,25962,warning,Global
2016-01-29 22:00:00,2362,warning,Brooklyn
2016-01-30 00:00:00,26298,drift,Global
2016-01-30 01:00:00,26394,warning,Global
2016-01-30 02:00:00,181498,drift,Manhattan
2016-01-30 02:00:00,2418,drift,Brooklyn
2016-01-30 03:00:00,181882,warning,Manhattan
2016-01-30 03:00:00,3482,warning,Queens
2016-01-30 08:00:00,26698,drift,Global
2016-01-30 12:00:00,26794,warning,Global
2016-01-30 14:00:00,184498,drift,Manhattan
2016-01-30 14:00:00,184658,warning,Manhattan
2016-01-30 16:00:00,3538,drift,Queens
2016-01-30 21:00:00,27098,drift,Global
2016-01-30 21:00:00,187498,drift,Manhattan
2016-01-30 21:00:00,187594,warning,Manhattan
2016-01-30 23:00:00,27194,warning,Global
2016-01-31 03:00:00,27498,drift,Global
2016-01-31 06:00:00,27594,warning,Global
2016-01-31 08:00:00,3602,warning,Queens
2016-01-31 08:00:00,190498,drift,Manhattan
2016-01-31 09:00:00,190626,warning,Manhattan
2016-01-31 13:00:00,2610,warning,Brooklyn
2016-01-31 16:00:00,27898,drift,Global
2016-01-31 17:00:00,193498,drift,Manhattan
2016-01-31 17:00:00,27994,warning,Global
2016-01-31 18:00:00,193690,warning,Manhattan
2016-01-31 23:00:00,28298,drift,Global
2016-02-01 01:00:00,2658,drift,Brooklyn
2016-02-01 03:00:00,28394,warning,Global
2016-02-01 09:00:00,196498,drift,Manhattan
2016-02-01 10:00:00,196722,warning,Manhattan
2016-02-01 14:00:00,28698,drift,Global
2016-02-01 14:00:00,3748,drift,Queens
2016-02-01 14:00:00,28730,warning,Global
2016-02-01 19:00:00,199498,drift,Manhattan
2016-02-01 19:00:00,199626,warning,Manhattan
2016-02-01 21:00:00,29098,drift,Global
2016-02-01 22:00:00,29162,warning,Global
2016-02-02 09:00:00,202498,drift,Manhattan
2016-02-02 09:00:00,202562,warning,Manhattan
2016-02-02 12:00:00,29498,drift,Global
2016-02-02 13:00:00,29562,warning,Global
2016-02-02 14:00:00,3844,warning,Queens
2016-02-02 18:00:00,205498,drift,Manhattan
2016-02-02 18:00:00,205594,warning,Manhattan
2016-02-02 21:00:00,29898,drift,Global
2016-02-02 21:00:00,29930,warning,Global
2016-02-03 03:00:00,3898,drift,Queens
2016-02-03 07:00:00,30298,drift,Global
2016-02-03 07:00:00,208498,drift,Manhattan
2016-02-03 08:00:00,208626,warning,Manhattan
2016-02-03 11:00:00,30394,warning,Global
2016-02-03 15:00:00,211498,drift,Manhattan
2016-02-03 16:00:00,211626,warning,Manhattan
2016-02-03 19:00:00,30698,drift,Global
2016-02-03 20:00:00,30762,warning,Global
2016-02-04 00:00:00,214498,drift,Manhattan
2016-02-04 01:00:00,214658,warning,Manhattan
2016-02-04 03:00:00,31098,drift,Global
2016-02-04 08:00:00,31226,warning,Global
2016-02-04 11:00:00,4026,warning,Queens
2016-02-04 13:00:00,217498,drift,Manhattan
2016-02-04 13:00:00,217626,warning,Manhattan
2016-02-04 16:00:00,31498,drift,Global
2016-02-04 17:00:00,31562,warning,Global
2016-02-04 21:00:00,220498,drift,Manhattan
2016-02-04 21:00:00,220562,warning,Manhattan
2016-02-04 21:00:00,4078,drift,Queens
2016-02-04 22:00:00,31898,drift,Global
2016-02-05 00:00:00,31994,warning,Global
2016-02-05 06:00:00,2946,warning,Brooklyn
2016-02-05 09:00:00,32298,drift,Global
2016-02-05 10:00:00,223498,drift,Manhattan
2016-02-05 10:00:00,223722,warning,Manhattan
2016-02-05 13:00:00,32394,warning,Global
2016-02-05 15:00:00,4174,warning,Queens
2016-02-05 18:00:00,4198,drift,Queens
2016-02-05 18:00:00,226498,drift,Manhattan
2016-02-05 18:00:00,226626,warning,Manhattan
2016-02-05 20:00:00,32698,drift,Global
2016-02-05 21:00:00,32762,warning,Global
2016-02-05 22:00:00,2998,drift,Brooklyn
2016-02-06 01:00:00,229498,drift,Manhattan
2016-02-06 01:00:00,33098,drift,Global
2016-02-06 02:00:00,229658,warning,Manhattan
2016-02-06 02:00:00,33162,warning,Global
2016-02-06 08:00:00,4262,warning,Queens
2016-02-06 14:00:00,33498,drift,Global
2016-02-06 14:00:00,232498,drift,Manhattan
2016-02-06 14:00:00,232530,warning,Manhattan
2016-02-06 16:00:00,33562,warning,Global
2016-02-06 18:00:00,3126,warning,Brooklyn
2016-02-06 21:00:00,235498,drift,Manhattan
2016-02-06 21:00:00,235562,warning,Manhattan
2016-02-07 00:00:00,33898,drift,Global
2016-02-07 01:00:00,33994,warning,Global
2016-02-07 01:00:00,4348,drift,Queens
2016-02-07 09:00:00,238498,drift,Manhattan
2016-02-07 10:00:00,4380,warning,Queens
2016-02-07 10:00:00,238562,warning,Manhattan
2016-02-07 10:00:00,34298,drift,Global
2016-02-07 15:00:00,34458,warning,Global
2016-02-07 18:00:00,241498,drift,Manhattan
2016-02-07 18:00:00,241626,warning,Manhattan
2016-02-07 19:00:00,34698,drift,Global
2016-02-07 21:00:00,34794,warning,Global
2016-02-08 06:00:00,35098,drift,Global
2016-02-08 09:00:00,244498,drift,Manhattan
2016-02-08 09:00:00,244658,warning,Manhattan
2016-02-08 10:00:00,35194,warning,Global
2016-02-08 12:00:00,4498,drift,Queens
2016-02-08 18:00:00,35498,drift,Global
2016-02-08 18:00:00,247498,drift,Manhattan
2016-02-08 18:00:00,247626,warning,Manhattan
2016-02-08 20:00:00,35594,warning,Global
2016-02-09 02:00:00,35898,drift,Global
2016-02-09 06:00:00,4594,warning,Queens
2016-02-09 07:00:00,35962,warning,Global
2016-02-09 09:00:00,250498,drift,Manhattan
2016-02-09 09:00:00,250626,warning,Manhattan
2016-02-09 16:00:00,4648,drift,Queens
2016-02-09 17:00:00,253498,drift,Manhattan
2016-02-09 18:00:00,253626,warning,Manhattan
2016-02-09 18:00:00,36298,drift,Global
2016-02-09 19:00:00,36362,warning,Global
2016-02-09 21:00:00,3438,drift,Brooklyn
2016-02-10 01:00:00,36698,drift,Global
2016-02-10 02:00:00,36730,warning,Global
2016-02-10 07:00:00,256498,drift,Manhattan
2016-02-10 07:00:00,256626,warning,Manhattan
2016-02-10 15:00:00,259498,drift,Manhattan
2016-02-10 15:00:00,37098,drift,Global
2016-02-10 15:00:00,259530,warning,Manhattan
2016-02-10 16:00:00,37162,warning,Global
2016-02-10 22:00:00,37498,drift,Global
2016-02-10 22:00:00,262498,drift,Manhattan
2016-02-10 22:00:00,262530,warning,Manhattan
2016-02-10 23:00:00,37594,warning,Global
2016-02-11 00:00:00,4776,warning,Queens
2016-02-11 09:00:00,37898,drift,Global
2016-02-11 11:00:00,265498,drift,Manhattan
2016-02-11 11:00:00,37962,warning,Global
2016-02-11 11:00:00,265626,warning,Manhattan
2016-02-11 18:00:00,4858,drift,Queens
2016-02-11 18:00:00,268498,drift,Manhattan
2016-02-11 19:00:00,268626,warning,Manhattan
2016-02-11 19:00:00,38298,drift,Global
2016-02-11 21:00:00,38394,warning,Global
2016-02-11 23:00:00,3598,warning,Brooklyn
2016-02-12 00:00:00,38698,drift,Global
2016-02-12 01:00:00,38762,warning,Global
2016-02-12 06:00:00,271498,drift,Manhattan
2016-02-12 06:00:00,271530,warning,Manhattan
2016-02-12 07:00:00,4922,warning,Queens
2016-02-12 11:00:00,39098,drift,Global
2016-02-12 14:00:00,274498,drift,Manhattan
2016-02-12 14:00:00,39226,warning,Global
2016-02-12 14:00:00,4948,drift,Queens
2016-02-12 14:00:00,274690,warning,Manhattan
2016-02-12 19:00:00,39498,drift,Global
2016-02-12 21:00:00,277498,drift,Manhattan
2016-02-12 21:00:00,277626,warning,Manhattan
2016-02-12 21:00:00,39626,warning,Global
2016-02-13 00:00:00,3698,drift,Brooklyn
2016-02-13 01:00:00,39898,drift,Global
2016-02-13 02:00:00,39962,warning,Global
2016-02-13 10:00:00,280498,drift,Manhattan
2016-02-13 10:00:00,280626,warning,Manhattan
2016-02-13 12:00:00,40298,drift,Global
2016-02-13 14:00:00,40394,warning,Global
2016-02-13 17:00:00,283498,drift,Manhattan
2016-02-13 17:00:00,283626,warning,Manhattan
2016-02-13 21:00:00,3826,warning,Brooklyn
2016-02-13 22:00:00,40698,drift,Global
2016-02-13 22:00:00,3838,drift,Brooklyn
2016-02-13 23:00:00,40730,warning,Global
2016-02-13 23:00:00,286498,drift,Manhattan
2016-02-13 23:00:00,286626,warning,Manhattan
2016-02-14 04:00:00,5140,warning,Queens
2016-02-14 04:00:00,3902,warning,Brooklyn
2016-02-14 07:00:00,41098,drift,Global
2016-02-14 09:00:00,41162,warning,Global
2016-02-14 11:00:00,3918,drift,Brooklyn
2016-02-14 12:00:00,289498,drift,Manhattan
2016-02-14 13:00:00,289594,warning,Manhattan
2016-02-14 15:00:00,5188,drift,Queens
2016-02-14 17:00:00,41498,drift,Global
2016-02-14 19:00:00,41562,warning,Global
2016-02-14 19:00:00,292498,drift,Manhattan
2016-02-14 20:00:00,292626,warning,Manhattan
2016-02-15 02:00:00,41898,drift,Global
2016-02-15 06:00:00,5284,warning,Queens
2016-02-15 07:00:00,42026,warning,Global
2016-02-15 10:00:00,295498,drift,Manhattan
2016-02-15 11:00:00,295658,warning,Manhattan
2016-02-15 14:00:00,42298,drift,Global
2016-02-15 17:00:00,42426,warning,Global
2016-02-15 18:00:00,298498,drift,Manhattan
2016-02-15 19:00:00,298690,warning,Manhattan
2016-02-15 22:00:00,42698,drift,Global
2016-02-15 23:00:00,42762,warning,Global
2016-02-16 00:00:00,4078,warning,Brooklyn
2016-02-16 03:00:00,5428,drift,Queens
2016-02-16 09:00:00,43098,drift,Global
2016-02-16 09:00:00,301498,drift,Manhattan
2016-02-16 10:00:00,301626,warning,Manhattan
2016-02-16 11:00:00,43194,warning,Global
2016-02-16 18:00:00,304498,drift,Manhattan
2016-02-16 18:00:00,304594,warning,Manhattan
2016-02-16 19:00:00,43498,drift,Global
2016-02-16 21:00:00,43594,warning,Global
2016-02-17 00:00:00,4138,drift,Brooklyn
2016-02-17 01:00:00,5556,warning,Queens
2016-02-17 01:00:00,43898,drift,Global
2016-02-17 07:00:00,44026,warning,Global
2016-02-17 08:00:00,307498,drift,Manhattan
2016-02-17 08:00:00,307594,warning,Manhattan
2016-02-17 14:00:00,44298,drift,Global
2016-02-17 15:00:00,44362,warning,Global
2016-02-17 16:00:00,310498,drift,Manhattan
2016-02-17 17:00:00,310594,warning,Manhattan
2016-02-17 22:00:00,44698,drift,Global
2016-02-17 23:00:00,44794,warning,Global
2016-02-18 00:00:00,313498,drift,Manhattan
2016-02-18 01:00:00,313658,warning,Manhattan
2016-02-18 09:00:00,45098,drift,Global
2016-02-18 11:00:00,45162,warning,Global
2016-02-18 13:00:00,316498,drift,Manhattan
2016-02-18 14:00:00,316626,warning,Manhattan
2016-02-18 17:00:00,5728,drift,Queens
2016-02-18 19:00:00,45498,drift,Global
2016-02-18 20:00:00,319498,drift,Manhattan
2016-02-18 21:00:00,45594,warning,Global
2016-02-18 21:00:00,319658,warning,Manhattan
2016-02-18 21:00:00,4266,warning,Brooklyn
2016-02-18 23:00:00,5760,warning,Queens
2016-02-19 00:00:00,45898,drift,Global
2016-02-19 02:00:00,45962,warning,Global
2016-02-19 06:00:00,5788,drift,Queens
2016-02-19 07:00:00,4318,drift,Brooklyn
2016-02-19 09:00:00,322498,drift,Manhattan
2016-02-19 09:00:00,322594,warning,Manhattan
2016-02-19 14:00:00,46298,drift,Global
2016-02-19 16:00:00,46394,warning,Global
2016-02-19 17:00:00,325498,drift,Manhattan
2016-02-19 18:00:00,325594,warning,Manhattan
2016-02-19 21:00:00,46698,drift,Global
2016-02-19 22:00:00,4350,warning,Brooklyn
2016-02-19 23:00:00,46794,warning,Global
2016-02-19 23:00:00,4358,drift,Brooklyn
2016-02-20 00:00:00,328498,drift,Manhattan
2016-02-20 00:00:00,328690,warning,Manhattan
2016-02-20 03:00:00,47098,drift,Global
2016-02-20 06:00:00,47194,warning,Global
2016-02-20 11:00:00,5948,warning,Queens
2016-02-20 12:00:00,4422,warning,Brooklyn
2016-02-20 13:00:00,331498,drift,Manhattan
2016-02-20 13:00:00,331594,warning,Manhattan
2016-02-20 17:00:00,47498,drift,Global
2016-02-20 18:00:00,5998,drift,Queens
2016-02-20 18:00:00,47562,warning,Global
2016-02-20 20:00:00,334498,drift,Manhattan
2016-02-20 20:00:00,334626,warning,Manhattan
2016-02-21 00:00:00,4498,drift,Brooklyn
